source,target
@inmediaref,@pypi_updates
@inmediaref,@dan_abramov
@inmediaref,@googleresearch
@inmediaref,@CERN
@inmediaref,@IamSusanLewis
@inmediaref,@mante
@inmediaref,@MongoDB
@inmediaref,@EvanSinar
@inmediaref,@FrederickRolfe
@inmediaref,@Gephi
@inmediaref,@kdnuggets
@inmediaref,@googledevs
@inmediaref,@GrowthHackersUK
@inmediaref,@doctorow
@inmediaref,@TomsHWItalia
@inmediaref,@Recode
@inmediaref,@SaraDurantini
@inmediaref,@planetphp
@inmediaref,@mysociety
@inmediaref,@pureinfographic
@inmediaref,@TheNextWeb
@inmediaref,@kdnuggets
@inmediaref,@metamedia
@inmediaref,@Fotoliberebbcc
@inmediaref,@slicedlime
@inmediaref,@AlbertoMaestri
@inmediaref,@Bill_Kos
@inmediaref,@merix_studio
@inmediaref,@voxdotcom
@inmediaref,@EvanSinar
@inmediaref,@webmastergirl
@inmediaref,@tips_js
@inmediaref,@EvanSinar
@inmediaref,@webmastergirl
@inmediaref,@MongoDB
@inmediaref,@EvanSinar
@inmediaref,@SilviaCriscuoli
@inmediaref,@SilviaCriscuoli
@inmediaref,@TheNextWeb
@inmediaref,@gauss_mc
@inmediaref,@EvanSinar
@inmediaref,@albertocairo
@inmediaref,@scatteredbrainV
@inmediaref,@slashdot
@inmediaref,@EvanSinar
@inmediaref,@WillOremus
@inmediaref,@EvanSinar
@inmediaref,@duckduckhack
@inmediaref,@cicap
@inmediaref,@Recode
@inmediaref,@smashingmag
@inmediaref,@MongoDB
@inmediaref,@jquery_rain
@inmediaref,@plarium
@inmediaref,@shivkumarganesh
@inmediaref,@VDfUSphQKgLBgPN
@inmediaref,@battal_teacher
@inmediaref,@AIGA_Nebraska
@inmediaref,@gbonanome
@inmediaref,@doctorow
@inmediaref,@SilviaCriscuoli
@inmediaref,@_arianna
@inmediaref,@fraenrico
@inmediaref,@MoreNilesh
@inmediaref,@BestSQL
@inmediaref,@trainingstack
@inmediaref,@FrederickRolfe
@inmediaref,@SilviaCriscuoli
@inmediaref,@letiziasechi
@inmediaref,@InfonomicsToday
@inmediaref,@dweinberger
@inmediaref,@JoeGermuska
@inmediaref,@Day_Order
@inmediaref,@rundavidrun
@inmediaref,@slashdot
@inmediaref,@mholzschlag
@inmediaref,@Snowden
@inmediaref,@markwschaefer
@inmediaref,@smashingmag
@inmediaref,@mariovejlupek
@inmediaref,@JavaScriptDaily
@inmediaref,@CodemotionIT
@inmediaref,@faveromarco
@inmediaref,@paulg
@inmediaref,@dweinberger
@inmediaref,@verge
@inmediaref,@pranjalksingh
@inmediaref,@DatavizNews
@inmediaref,@FrederickRolfe
@inmediaref,@mrphs
@inmediaref,@noxymo
@inmediaref,@rankade
@inmediaref,@lib_papers
@inmediaref,@SilviaCriscuoli
@inmediaref,@OhMyLittleData
@inmediaref,@JimMcKeeth
@inmediaref,@InfonomicsToday
@inmediaref,@zeldman
@inmediaref,@FrederickRolfe
@inmediaref,@_danilo
@inmediaref,@abrightmoore
@inmediaref,@SilviaCriscuoli
@inmediaref,@MSDTechNews
@inmediaref,@BuzzFeedNews
@inmediaref,@kesbutters
@inmediaref,@SilviaCriscuoli
@inmediaref,@SilviaCriscuoli
@inmediaref,@Abby_the_IA
@inmediaref,@atomotic
@inmediaref,@co_garreau
@inmediaref,@dukbcaaj
@inmediaref,@COANelmejor
@inmediaref,@annemener
@inmediaref,@BuzzFeedNews
@inmediaref,@openculture
@inmediaref,@creativebeacon
@inmediaref,@DirittiDem
@inmediaref,@BCG
@inmediaref,@pycoders
@inmediaref,@aaronix
@inmediaref,@merapps
@inmediaref,@diritto2punto0
@inmediaref,@Linkiesta
@inmediaref,@Toinito
@inmediaref,@zeldman
@inmediaref,@sengineland
@inmediaref,@FrederickRolfe
@inmediaref,@seinecle
@inmediaref,@drikting
@inmediaref,@kayiwa
@inmediaref,@seanmcarroll
@inmediaref,@DesignFInternet
@inmediaref,@sadewowtito
@inmediaref,@interacting
@inmediaref,@hendorf
@inmediaref,@chefuturo
@inmediaref,@azat_co
@inmediaref,@mc_lavazza
@inmediaref,@webdirections
@inmediaref,@AnonTechOps
@inmediaref,@jimsterne
@inmediaref,@mbostock
@inmediaref,@GalaxyKate
@inmediaref,@daviddaileysru
@inmediaref,@PythonWeekly
@inmediaref,@treecasiano
@inmediaref,@lakowskidigital
@inmediaref,@aubreymcfato
@inmediaref,@k_zoltan
@inmediaref,@fraenrico
@inmediaref,@fraenrico
@inmediaref,@magomimmo
@inmediaref,@LaMaciadeiLibri
@inmediaref,@expand_media
@inmediaref,@JuntaeDeLane
@inmediaref,@fraenrico
@inmediaref,@TheNextWeb
@inmediaref,@smashingmag
@inmediaref,@JavaScriptDaily
@inmediaref,@OpenRefine
@inmediaref,@riquellopes
@inmediaref,@TopDjangoNews
@inmediaref,@DataMediaHub
@inmediaref,@pypi_updates
@inmediaref,@AskSaikatSinha
@inmediaref,@InfonomicsToday
@inmediaref,@EvanSinar
@inmediaref,@M_L_O_L
@inmediaref,@fraenrico
@inmediaref,@fraenrico
@inmediaref,@dmlab
@inmediaref,@Social_Media_IT
@inmediaref,@NathanJCowan
@inmediaref,@domitilla
@inmediaref,@fraenrico
@inmediaref,@polinode
@inmediaref,@avinash
@inmediaref,@phpstormbriefs
@inmediaref,@infodocket
@inmediaref,@PRISMOMAG
@inmediaref,@uxpin
@inmediaref,@GillaFiume
@inmediaref,@smashingmag
@inmediaref,@alescarazzato
@inmediaref,@belgiumweb
@inmediaref,@14fra_de
@inmediaref,@webdesignledger
@inmediaref,@newsycombinator
@inmediaref,@HuffPostTech
@inmediaref,@socialmedia2day
@inmediaref,@i_robin
@inmediaref,@markwschaefer
@inmediaref,@ComputerWeekly
@inmediaref,@mcfarioli
@inmediaref,@myusuf3
@inmediaref,@TheNextWeb
@inmediaref,@lucacorsato
@inmediaref,@sari_feldman
@inmediaref,@lumachino78
@inmediaref,@valeriabaudo
@inmediaref,@valeriabaudo
@inmediaref,@FrederickRolfe
@inmediaref,@silfranck
@inmediaref,@M_L_O_L
@inmediaref,@Ask_Librarian
@inmediaref,@Ask_Librarian
@inmediaref,@FrederickRolfe
@inmediaref,@AirbnbHelp
@inmediaref,@MirkoBonanni
@inmediaref,@QueriniVenezia
@inmediaref,@valeriabaudo
@inmediaref,@DeboraMapelli
@inmediaref,@aureooitalia
@inmediaref,@lumachino78
@inmediaref,@giulio_blasi
@inmediaref,@lumachino78
@inmediaref,@valeriabaudo
