user.screen_name,text,entities.urls.0.expanded_url
AmandinemJac,RT @eblida: Most of the examples showed in @AmandinemJac presentation here https://t.co/fvXOJd6A3R #ConvegnoStelline  @CStelline @M_L_O_L @…,http://abf.asso.fr/pages/carte_bib/carte_bib.php
tinokowalski,RT @eblida: Most of the examples showed in @AmandinemJac presentation here https://t.co/fvXOJd6A3R #ConvegnoStelline  @CStelline @M_L_O_L @…,http://abf.asso.fr/pages/carte_bib/carte_bib.php
CStelline,RT @eblida: Most of the examples showed in @AmandinemJac presentation here https://t.co/fvXOJd6A3R #ConvegnoStelline  @CStelline @M_L_O_L @…,http://abf.asso.fr/pages/carte_bib/carte_bib.php
eblida,Most of the examples showed in @AmandinemJac presentation here https://t.co/fvXOJd6A3R #ConvegnoStelline  @CStelline @M_L_O_L @IFLA,http://abf.asso.fr/pages/carte_bib/carte_bib.php
tanioms3,#ConvegnoStelline @marcos_sp0001 ao vivo: https://t.co/3PkLmJRqju,http://amizadeglobal.com
TanioMScherer,#ConvegnoStelline Acesse e confira: https://t.co/ydfWzKD3Ga,http://amizadeglobal.com
fadinhagl,#ConvegnoStelline Marcos Vinícius ao vivo: https://t.co/n193teIweV,http://amizadeglobal.com
AmandinemJac,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
M_L_O_L,Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
SignoraRamsay,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
aubreymcfato,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
Twt_Lab,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
laramar_,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
ofux1,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
aubreymcfato,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
MirkoBonanni,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
ReteBibRomagna,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
MLOL_Trentino,RT @M_L_O_L: Ecco qui le slide https://t.co/oZ11jUzBDN dell'intervento di @laramar_ e @aubreymcfato #ConvegnoStelline,http://babele.io/slides/openmlol/#/
Orrudamiano,RT @CStelline: Rosa Maiello:come si può organizzare l'accesso durevole ai contenuti culturali https://t.co/1XEWuetANn… ,http://bit.ly/1VyVS5g
Fotoliberebbcc,RT @CStelline: Rosa Maiello:come si può organizzare l'accesso durevole ai contenuti culturali https://t.co/1XEWuetANn… ,http://bit.ly/1VyVS5g
SPhoto24,https://t.co/GGp4py2DHr https://t.co/gvGM1WFhy2 pa,http://bit.ly/2k70oM0
SPhoto24,https://t.co/Q2trYQcL6A https://t.co/gvGM1WFhy2 pa,http://bit.ly/2k70oM0
CStelline,RT @eblida: Check @EBLIDA's briefing https://t.co/9LpJLpSo4B to learn more on the CJEU case #ConvegnoStelline @CStelline… ,http://bit.ly/2kEA8td
eblida,Check @EBLIDA's briefing https://t.co/9LpJLpSo4B to learn more on the CJEU case #ConvegnoStelline @CStelline… https://t.co/HoiUF3Mjbg,http://bit.ly/2kEA8td
AmandinemJac,RT @eblida: Check @EBLIDA's briefing https://t.co/9LpJLpSo4B to learn more on the CJEU case #ConvegnoStelline @CStelline… ,http://bit.ly/2kEA8td
M_L_O_L,RT @eblida: Check @EBLIDA's briefing https://t.co/9LpJLpSo4B to learn more on the CJEU case #ConvegnoStelline @CStelline… ,http://bit.ly/2kEA8td
AmandinemJac,RT @eblida: #eblidanaple2017 Register now :-) https://t.co/QX0BpZfnlZ @AmandinemJac @M_L_O_L @IFLA https://t.co/t2msxFbQNd,http://bit.ly/2mQGIOs
eblida,#eblidanaple2017 Register now :-) https://t.co/QX0BpZfnlZ @AmandinemJac @M_L_O_L @IFLA https://t.co/t2msxFbQNd,http://bit.ly/2mQGIOs
CStelline,RT @eblida: @fabiovenuda UD for #libraries checklist of 5 points based on DO IT (Washington Edu) https://t.co/AKePBNvigN #ConvegnoStelline…,http://bit.ly/2n6jV3y
eblida,@fabiovenuda UD for #libraries checklist of 5 points based on DO IT (Washington Edu) https://t.co/AKePBNvigN #ConvegnoStelline @CStelline,http://bit.ly/2n6jV3y
skalibrarian,RT @eblida: Dokk1 (Aarhus) on @MuscogiuriMarco ppt! Next @eblida conference there Let's Rethink https://t.co/e6m2JdJHU3  #ConvegnoStelline…,http://bit.ly/2nNldxg
eblida,Dokk1 (Aarhus) on @MuscogiuriMarco ppt! Next @eblida conference there Let's Rethink https://t.co/e6m2JdJHU3  #ConvegnoStelline @CStelline,http://bit.ly/2nNldxg
AmandinemJac,RT @eblida: Dokk1 (Aarhus) on @MuscogiuriMarco ppt! Next @eblida conference there Let's Rethink https://t.co/e6m2JdJHU3  #ConvegnoStelline…,http://bit.ly/2nNldxg
CStelline,RT @eblida: Dokk1 (Aarhus) on @MuscogiuriMarco ppt! Next @eblida conference there Let's Rethink https://t.co/e6m2JdJHU3  #ConvegnoStelline…,http://bit.ly/2nNldxg
Orrudamiano,RT @WikimediaItalia: #Biblioteche e #OpenData:il contributo di #Wikimedia Italia al @CStelline https://t.co/3LvdmrTm0B #convegnostelline… ,http://dlvr.it/Nc27hy
ParetoBiblio,RT @WikimediaItalia: #Biblioteche e #OpenData:il contributo di #Wikimedia Italia al @CStelline https://t.co/3LvdmrTm0B #convegnostelline… ,http://dlvr.it/Nc27hy
lumachino78,RT @WikimediaItalia: #Biblioteche e #OpenData:il contributo di #Wikimedia Italia al @CStelline https://t.co/3LvdmrTm0B #convegnostelline… ,http://dlvr.it/Nc27hy
Twt_Lab,"RT @M_L_O_L: Ed ecco qui #EmiLib, il primo dei nuovi portali e un progetto importante https://t.co/8lhIMzB1Rn #ConvegnoStelline",http://emilib.medialibrary.it/
M_L_O_L,"Ed ecco qui #EmiLib, il primo dei nuovi portali e un progetto importante https://t.co/8lhIMzB1Rn #ConvegnoStelline",http://emilib.medialibrary.it/
carlacolombati,Missing #convegnostelline #biblioteche #accademiche e #Universitypress #editoria #OA https://t.co/G7VtdqSEd0,http://fb.me/5RuXoFjRp
eblida,"Retweeted Ambasciata U.S.A. (@AmbasciataUSA):

Al #ConvegnoStelline @dancohen @dpla su ""Openness, Sharing,... https://t.co/yLOChkfImL",http://fb.me/5Xm6agpmq
carlacolombati,Missing #convegnostelline https://t.co/BKHvWj3ABl,http://fb.me/Yo228y1k
eblida,"@antoagnoli highlights the inspiring approach of 
@KulturhusetSth https://t.co/EkR3E8f2d4 #ConvegnoStelline @CStelline @AmandinemJac",http://kulturhusetstadsteatern.se/English/
CStelline,"RT @eblida: @antoagnoli highlights the inspiring approach of 
@KulturhusetSth https://t.co/EkR3E8f2d4 #ConvegnoStelline @CStelline @Amandin…",http://kulturhusetstadsteatern.se/English/
Newsinunclick,#Oggi a #Milano a #ConvegnoStelline @CStelline si parla di biblioteca aperta con il Direttore della @dpla 📚🇺🇸  👀👉 https://t.co/YfQ6B9tfXv,http://ln.is/convegnostelline.it/uUz5T
CStelline,"RT @OpenAriccia: #convegnoStelline la biblioteca e' aperta #2017 
@cstelline
https://t.co/dkM4oVTiw5
@votopalese @italiapalese @romaPalese…",http://openariccia.altervista.org/openscience-stelline/
OpenAriccia,"#convegnoStelline la biblioteca e' aperta #2017 
@cstelline
https://t.co/dkM4oVTiw5
@votopalese @italiapalese @romaPalese @lestoturismo",http://openariccia.altervista.org/openscience-stelline/
Twt_Lab,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
M_L_O_L,Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #ConvegnoStelline,http://openmlol.it/autori/13/dante-alighieri
SignoraRamsay,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
DivinaCommediaQ,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
rose_inthebox,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
silfranck,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
paolapala3,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
aubreymcfato,RT @M_L_O_L: Guardate il lavoro di @aubreymcfato @laramar_ e @atomotic sugli autori: ecco la scheda di Dante https://t.co/4i7RASPYxJ #Conve…,http://openmlol.it/autori/13/dante-alighieri
Orrudamiano,RT @CStelline: Inizia ora in sala Manzoni Design Thinking for Libraries #ConvegnoStelline https://t.co/Y1WnuVw8jV https://t.co/aNrX8NEgU2,http://ow.ly/49Ji309ZFke
